step,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud
186,WEATHER,9.27,48.07,1010.11,5.54,15.32,0
187,WEATHER,18.31,37.68,1011.92,9.41,17.6,0
188,WEATHER,13.37,48.67,1013.9,1.62,18.31,0
189,WEATHER,10.49,64.35,1015.78,11.1,17.35,0
190,WEATHER,15.39,29.74,1008.45,25.05,22.1,0
191,WEATHER,10.03,43.12,1016.02,16.14,19.51,0
192,WEATHER,11.94,45.94,1016.24,2.15,22.81,0
193,WEATHER,12.51,46.27,1014.86,24.83,21.84,0
194,WEATHER,16.99,45.79,1012.6,26.97,22.06,0
195,WEATHER,12.09,48.53,1012.54,18.45,18.61,0
196,WEATHER,15.68,47.51,1013.09,23.08,19.02,0
197,WEATHER,9.62,43.57,1013.27,11.22,20.12,0
198,WEATHER,9.47,47.39,1012.43,16.21,19.1,0
199,WEATHER,11.8,38.07,1016.5,5.03,16.4,0
200,WEATHER,5.97,34.69,1014.62,19.15,17.35,0
201,WEATHER,7.13,32.18,1011.6,3.88,9.2,0
202,WEATHER,12.18,38.35,1021.49,14.92,17.98,0
203,WEATHER,5.39,31.97,1006.98,15.98,25.36,0
204,WEATHER,11.87,32.29,1006.59,20.04,20.62,0
205,WEATHER,7.29,39.06,1005.28,8.01,17.26,0
206,WEATHER,7.62,50.72,1012.55,19.23,12.28,0
207,WEATHER,7.18,43.56,1013.18,15.12,17.76,0
208,WEATHER,16.35,47.26,1010.18,13.32,20.03,0
209,WEATHER,11.48,45.8,1011.97,8.64,15.11,0
210,WEATHER,5.02,31.07,1008.63,7.93,13.15,0
211,WEATHER,5.08,23.31,1006.83,12.86,26.35,0
212,WEATHER,7.29,33.58,1018.56,26.92,20.55,0
213,WEATHER,8.37,30.79,1006.25,15.5,15.11,0
214,WEATHER,10.2,37.86,1014.38,11.12,22.51,0
215,WEATHER,12.77,42.62,1004.93,13.17,26.31,0
216,WEATHER,10.84,38.41,1002.59,9.35,13.83,0
217,WEATHER,8.36,44.7,1008.14,13.18,22.68,0
218,WEATHER,8.67,39.12,1013.75,4.98,16.1,0
219,WEATHER,4.51,48.05,1011.14,19.49,16.58,0
220,WEATHER,10.72,44.22,1008.47,16.14,15.21,0
221,WEATHER,6.67,32.01,1019.34,14.34,20.62,0
222,WEATHER,3.96,27.48,1010.25,13.1,22.86,0
223,WEATHER,8.67,42.64,1007.14,8.94,10.92,0
224,WEATHER,3.1,41.43,1007.45,14.26,20.29,0
225,WEATHER,3.21,47.61,1013.56,6.15,16.7,0
226,WEATHER,4.46,37.58,1005.72,9.42,11.39,0
227,WEATHER,7.98,50.18,1006.39,21.15,17.44,0
228,WEATHER,6.12,51.71,1009.01,3.66,21.15,0
229,WEATHER,8.32,53.6,1003.86,13.94,18.32,0
230,WEATHER,6.98,44.19,1008.88,14.8,14.01,0
231,WEATHER,9.16,39.88,1014.86,8.11,5.87,0
232,WEATHER,4.16,41.77,1004.3,9.42,8.96,0
233,WEATHER,9.38,39.59,1005.66,26.42,6.55,0
234,WEATHER,-0.1,46.84,1010.07,10.94,16.94,0
235,WEATHER,6.99,37.3,1005.84,24.55,10.49,0
236,WEATHER,7.53,46.32,1020.54,8.37,17.35,0
237,WEATHER,5.8,23.05,1009.25,6.29,13.18,0
238,WEATHER,4.94,39.96,1009.19,1.81,14.66,0
239,WEATHER,7.36,32.87,1010.2,7.01,15.39,0
240,WEATHER,7.32,45.29,1014.73,14.65,19.99,0
241,WEATHER,6.06,38.63,1008.58,11.99,13.46,0
242,WEATHER,2.96,44.69,1011.78,14.99,18.33,0
243,WEATHER,-2.07,50.41,1009.9,16.3,9.85,0
244,WEATHER,5.31,26.24,1018.72,12.65,10.52,0
245,WEATHER,5.21,23.77,1007.49,7.64,17.83,0
246,WEATHER,4.97,41.88,1005.18,13.13,14.1,0
247,WEATHER,4.94,50.36,1008.57,19.16,17.67,0
248,WEATHER,7.89,46.89,1008.4,18.89,12.45,0
249,WEATHER,3.09,39.63,1005.22,9.87,17.89,0
250,WEATHER,6.97,29.94,1014.61,4.89,14.81,0
251,WEATHER,5.25,41.74,1002.44,7.36,11.95,0
252,WEATHER,-1.15,50.51,999.89,11.92,8.45,0
253,WEATHER,-1.22,56.19,1013.34,8.97,11.53,0
254,WEATHER,7.49,37.9,1004.31,9.68,9.43,0
255,WEATHER,1.59,36.14,1008.14,29.83,8.06,0
256,WEATHER,5.16,43.19,1009.65,19.28,12.89,0
257,WEATHER,3.32,54.11,1014.14,7.7,19.2,0
258,WEATHER,4.22,31.74,1009.52,28.0,21.7,0
259,WEATHER,1.43,57.02,1011.66,9.01,26.01,0
260,WEATHER,3.35,57.23,1002.77,17.52,16.29,0
261,WEATHER,1.47,50.06,1010.35,15.13,8.15,0
262,WEATHER,2.4,46.33,1013.14,5.75,17.51,0
263,WEATHER,1.43,47.38,1005.03,19.81,23.76,0
264,WEATHER,5.19,56.18,1009.54,12.51,19.89,1
265,WEATHER,1.72,43.35,999.86,13.3,8.75,0
266,WEATHER,4.1,45.83,1009.91,22.86,16.09,0
267,WEATHER,1.94,33.7,1005.72,33.33,11.45,0
268,WEATHER,2.84,48.23,1011.62,2.13,13.56,0
269,WEATHER,-2.31,55.22,1009.46,2.11,8.96,0
270,WEATHER,2.37,53.8,1007.33,8.45,14.48,0
271,WEATHER,2.4,47.47,1007.87,14.7,14.06,0
272,WEATHER,2.56,41.31,1009.4,18.01,15.71,0
273,WEATHER,1.11,38.22,1009.74,10.73,16.18,0
274,WEATHER,-3.01,50.51,1012.44,6.63,20.54,0
275,WEATHER,5.88,50.63,1005.39,1.33,14.7,0
276,WEATHER,5.37,39.6,1004.21,9.0,13.64,0
277,WEATHER,4.28,64.08,1007.61,10.61,15.83,0
278,WEATHER,0.91,41.39,1007.59,14.28,18.05,0
279,WEATHER,6.26,47.54,1010.61,8.92,22.11,0
280,WEATHER,4.14,44.98,1005.48,11.26,18.1,0
281,WEATHER,-0.67,40.84,1009.34,10.97,8.02,0
282,WEATHER,-0.89,53.46,1004.17,8.5,21.0,0
283,WEATHER,4.78,52.61,1007.14,18.08,24.15,0
284,WEATHER,3.05,72.02,1008.38,8.12,23.96,0
285,WEATHER,4.17,41.87,1010.79,13.06,21.85,0
286,WEATHER,2.26,62.37,1008.77,13.81,24.56,0
287,WEATHER,9.1,50.07,1002.86,11.36,15.89,0
288,WEATHER,11.69,55.64,1006.57,8.85,24.12,0
289,WEATHER,0.97,37.18,1006.49,0.63,12.98,0
290,WEATHER,-2.54,52.06,1011.67,7.16,23.47,0
291,WEATHER,4.9,55.35,1011.08,16.57,21.65,0
292,WEATHER,0.49,51.89,1007.35,7.2,22.51,0
293,WEATHER,7.82,76.15,1004.61,10.51,22.76,0
294,WEATHER,10.52,58.88,1007.33,10.5,19.37,0
295,WEATHER,7.47,56.44,1009.21,12.88,16.23,0
296,WEATHER,10.22,68.48,1010.31,19.84,14.54,0
297,WEATHER,7.44,58.81,1010.09,14.49,24.1,0
298,WEATHER,2.82,59.1,1016.72,11.94,21.65,0
299,WEATHER,4.51,55.66,1003.69,6.09,18.22,0
300,WEATHER,3.08,54.0,1014.99,9.41,16.5,0
301,WEATHER,5.5,49.77,1017.49,10.14,19.94,1
302,WEATHER,6.2,66.59,1010.3,13.42,22.07,0
303,WEATHER,2.89,67.04,1006.3,23.47,15.27,0
304,WEATHER,4.2,63.32,1007.59,24.46,25.2,0
305,WEATHER,6.34,67.66,1002.96,15.27,16.61,0
306,WEATHER,2.41,64.21,997.9,6.48,22.29,0
307,WEATHER,4.68,58.94,1018.37,16.34,25.12,0
308,WEATHER,6.32,73.79,1008.96,22.09,22.95,0
309,WEATHER,3.67,69.15,1010.0,7.65,25.99,0
310,WEATHER,0.21,58.45,1008.79,10.75,30.12,0
311,WEATHER,4.76,68.86,1019.33,21.52,19.39,0
312,WEATHER,9.42,51.87,1007.4,13.02,25.62,0
313,WEATHER,8.45,60.4,1006.66,4.09,32.37,0
314,WEATHER,8.75,67.7,1008.46,4.92,27.11,0
315,WEATHER,1.62,52.91,1007.26,3.98,19.06,0
316,WEATHER,4.82,54.98,1005.4,17.21,19.53,0
317,WEATHER,4.47,57.56,1008.92,9.16,26.3,0
318,WEATHER,7.9,51.45,1008.49,14.71,22.2,0
319,WEATHER,3.66,58.57,1010.27,6.43,14.31,0
320,WEATHER,5.17,62.19,1006.39,12.72,29.06,0
321,WEATHER,15.43,50.59,1005.41,8.0,31.44,0
322,WEATHER,10.08,74.7,1015.23,12.79,22.78,0
323,WEATHER,13.44,75.92,1008.92,3.35,25.28,0
324,WEATHER,8.11,70.74,1003.54,6.08,30.31,0
325,WEATHER,7.84,66.99,1005.19,16.79,24.57,0
326,WEATHER,5.41,63.11,1003.48,3.13,30.8,0
327,WEATHER,5.98,54.23,1008.67,2.18,32.56,0
328,WEATHER,4.05,57.36,1004.15,22.46,29.55,0
329,WEATHER,4.84,69.98,1016.4,15.73,24.8,0
330,WEATHER,2.91,64.39,1011.18,14.52,36.62,1
331,WEATHER,4.4,65.02,1009.14,7.52,21.88,0
332,WEATHER,6.28,69.99,1010.32,16.72,27.11,0
333,WEATHER,9.22,72.97,1006.4,22.54,16.52,0
334,WEATHER,8.77,60.34,1015.35,11.85,22.64,0
335,WEATHER,6.62,71.28,1007.94,16.72,39.49,0
336,WEATHER,13.51,65.02,1010.77,14.89,25.42,1
337,WEATHER,5.38,60.81,1005.47,7.92,22.74,0
338,WEATHER,8.89,66.7,1016.26,6.14,36.04,0
339,WEATHER,3.19,68.01,1016.34,26.1,38.34,1
340,WEATHER,13.27,71.47,1008.84,13.31,20.18,0
341,WEATHER,10.83,67.64,1015.86,6.72,38.18,0
342,WEATHER,14.82,54.51,1013.75,42.45,30.7,0
343,WEATHER,8.75,62.89,1011.31,4.95,35.51,1
344,WEATHER,8.63,64.4,1010.45,5.36,29.38,0
345,WEATHER,11.24,66.9,1009.03,22.56,31.18,1
346,WEATHER,13.09,87.31,1006.7,2.9,34.24,0
347,WEATHER,14.08,75.03,1010.14,7.99,24.17,0
348,WEATHER,11.36,73.97,1008.41,9.89,27.01,0
349,WEATHER,9.88,77.68,1015.44,20.36,27.22,0
350,WEATHER,16.34,73.09,1006.74,12.6,32.63,1
351,WEATHER,8.96,76.53,1013.55,16.12,33.34,0
352,WEATHER,10.66,63.82,1013.39,11.01,36.82,0
353,WEATHER,12.53,78.33,1011.54,2.46,32.73,1
354,WEATHER,13.29,63.34,1012.87,21.13,32.5,0
355,WEATHER,12.64,81.4,1012.73,20.61,40.03,1
356,WEATHER,12.6,88.86,1012.18,7.81,39.58,1
357,WEATHER,13.03,67.48,1008.63,7.37,23.69,0
358,WEATHER,16.49,81.26,1006.75,4.34,31.76,0
359,WEATHER,14.16,87.24,1017.52,12.32,36.59,0
360,WEATHER,13.27,81.87,1014.37,16.1,33.87,0
361,WEATHER,11.88,65.85,1018.06,10.36,35.27,0
362,WEATHER,17.5,68.89,1013.12,12.99,37.13,1
363,WEATHER,13.76,70.39,1006.85,16.49,37.9,1
364,WEATHER,11.46,67.64,1009.68,15.48,35.86,0
365,WEATHER,19.63,84.74,1006.67,8.35,45.83,1
366,WEATHER,8.63,78.9,1009.18,17.52,41.41,0
367,WEATHER,14.43,65.24,1017.22,10.67,30.7,0
368,WEATHER,18.41,86.4,1005.51,15.58,42.33,1
369,WEATHER,11.85,78.23,1006.48,14.53,38.84,1
370,WEATHER,15.53,66.94,1012.99,14.18,42.54,0
371,WEATHER,17.79,83.01,1009.81,6.57,35.01,1
372,WEATHER,10.97,97.95,1011.07,6.07,39.16,1
373,WEATHER,10.27,66.43,1015.65,18.61,39.83,0
374,WEATHER,17.86,80.45,1010.23,2.19,28.27,0
375,WEATHER,21.44,86.35,1011.62,16.91,34.52,0
376,WEATHER,15.24,84.27,1013.55,10.15,37.86,0
377,WEATHER,14.16,71.29,1012.7,4.77,29.91,0
378,WEATHER,19.03,68.39,1019.55,6.77,43.6,0
379,WEATHER,16.95,61.6,1017.98,11.02,37.53,0
380,WEATHER,17.2,79.87,1013.71,3.69,35.66,0
381,WEATHER,11.63,81.45,1015.0,15.42,40.27,1
382,WEATHER,18.03,70.88,1014.91,13.93,51.3,0
383,WEATHER,21.96,78.51,1015.62,7.68,39.28,0
384,WEATHER,18.05,86.36,1012.52,10.62,45.59,1
385,WEATHER,13.06,84.65,1015.57,4.58,36.16,0
386,WEATHER,17.22,80.54,1012.5,9.2,35.36,0
387,WEATHER,19.76,76.47,1011.33,22.06,36.67,0
388,WEATHER,15.33,71.91,1017.18,10.29,47.75,1
389,WEATHER,22.23,86.26,1018.68,9.72,39.58,0
390,WEATHER,21.08,73.25,1018.21,14.53,38.75,0
391,WEATHER,19.2,94.01,1014.0,3.25,43.45,1
392,WEATHER,25.51,65.62,1019.62,23.98,38.62,0
393,WEATHER,16.18,71.42,1019.57,18.85,39.7,0
394,WEATHER,18.9,89.03,1015.43,14.75,47.38,0
395,WEATHER,18.17,76.09,1014.16,19.5,38.04,0
396,WEATHER,21.16,78.33,1012.19,9.59,46.81,0
397,WEATHER,20.72,87.37,1016.23,12.09,41.57,0
398,WEATHER,18.59,72.88,1016.14,3.12,44.19,0
399,WEATHER,21.15,80.43,1023.75,15.1,46.78,0
400,WEATHER,21.46,84.28,1017.47,11.02,44.76,1
401,WEATHER,24.93,70.37,1018.41,12.9,43.0,1
402,WEATHER,23.5,65.03,1006.13,8.29,52.51,0
403,WEATHER,21.58,85.03,1004.31,11.83,41.79,0
404,WEATHER,23.26,83.47,1016.76,7.13,45.13,0
405,WEATHER,18.4,81.68,1015.65,6.78,47.21,0
406,WEATHER,28.69,72.33,1010.46,17.02,51.22,0
407,WEATHER,18.79,84.66,1023.3,12.32,42.24,0
408,WEATHER,29.54,64.01,1014.81,7.24,42.81,1
409,WEATHER,18.83,67.64,1016.1,14.87,48.46,0
410,WEATHER,23.62,80.61,1022.97,13.17,44.64,0
411,WEATHER,24.59,63.02,1017.78,31.72,46.66,1
412,WEATHER,24.47,81.19,1014.14,20.29,42.17,0
413,WEATHER,24.73,82.85,1011.24,3.51,45.53,0
414,WEATHER,23.58,91.99,1014.9,20.24,52.94,0
415,WEATHER,21.93,72.07,1015.02,11.98,49.75,1
416,WEATHER,25.02,83.99,1015.03,15.43,43.98,0
417,WEATHER,25.72,76.99,1017.21,12.97,48.18,0
418,WEATHER,20.97,83.81,1014.83,20.91,43.2,0
419,WEATHER,26.75,82.52,1016.09,14.71,56.8,0
420,WEATHER,26.72,68.65,1014.21,12.65,47.06,1
421,WEATHER,26.99,85.68,1020.02,11.55,45.08,0
422,WEATHER,24.03,85.17,1024.89,14.47,47.04,1
423,WEATHER,23.81,84.76,1021.16,6.2,39.23,0
424,WEATHER,23.99,69.88,1020.16,13.2,43.17,0
425,WEATHER,27.3,89.92,1019.11,17.61,50.98,0
426,WEATHER,27.29,86.6,1014.8,8.57,48.04,1
427,WEATHER,24.45,76.31,1013.88,5.69,51.85,0
428,WEATHER,22.4,81.31,1010.2,9.88,36.69,0
429,WEATHER,24.21,77.82,1015.86,26.45,35.81,0
430,WEATHER,30.17,79.13,1019.65,8.3,45.03,0
431,WEATHER,22.28,67.62,1023.49,12.45,44.99,0
432,WEATHER,24.72,75.34,1009.27,9.79,49.99,0
433,WEATHER,24.58,87.25,1018.76,15.63,44.45,1
434,WEATHER,22.22,70.1,1012.96,16.69,45.46,0
435,WEATHER,25.03,76.21,1015.12,16.16,47.38,0
436,WEATHER,28.19,80.8,1015.25,7.18,44.88,0
437,WEATHER,25.32,79.34,1019.72,14.92,32.57,0
438,WEATHER,30.33,79.31,1016.96,10.9,43.64,0
439,WEATHER,27.51,89.01,1020.3,10.1,44.5,0
440,WEATHER,21.2,83.66,1018.07,7.6,54.78,0
441,WEATHER,24.61,63.61,1026.68,12.91,32.68,0
442,WEATHER,30.62,77.33,1014.6,11.37,46.96,0
443,WEATHER,25.82,78.17,1014.02,5.96,42.56,0
444,WEATHER,25.42,73.87,1017.74,12.74,38.72,0
445,WEATHER,22.86,71.03,1016.49,21.13,48.43,0
446,WEATHER,27.81,59.57,1013.47,15.93,46.6,0
447,WEATHER,22.49,76.5,1012.4,5.15,40.15,0
